,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,havre,40,US,1578449759,86,48.55,-109.68,270.15,7.2
142,kahului,40,US,1578449650,61,20.89,-156.47,299.15,8.7
143,mayumba,100,GA,1578449760,79,-3.44,10.65,300.38,3.14
144,lazaro cardenas,5,MX,1578449167,22,28.39,-105.62,286.48,0.37
145,batemans bay,79,AU,1578449247,71,-35.71,150.18,295.37,1.34
146,almaznyy,75,RU,1578449760,92,48.03,40.04,272.15,5.0
147,yazd,0,IR,1578449760,55,31.89,54.36,275.15,3.1
148,sao sebastiao,100,BR,1578449760,93,-3.15,-58.36,297.65,1.1
149,arraial do cabo,4,BR,1578449192,88,-22.97,-42.02,299.15,1.5
150,bezhetsk,100,RU,1578449761,96,57.78,36.69,273.88,3.46
151,killybegs,100,IE,1578449761,84,54.63,-8.45,279.26,2.68
152,suez,0,EG,1578449761,66,29.97,32.54,281.84,5.36
153,ceyhan,75,TR,1578449761,100,37.03,35.82,282.15,2.1
154,kaitangata,100,NZ,1578449762,56,-46.28,169.85,289.26,2.68
155,plettenberg bay,5,ZA,1578449762,84,-34.05,23.37,293.91,1.56
156,dunedin,99,NZ,1578448993,69,-45.87,170.5,285.36,2.54
157,saldanha,38,PT,1578449177,75,41.42,-6.55,276.3,0.58
158,goroka,83,PG,1578449763,92,-6.07,145.39,293.24,2.17
159,concepcion del oro,0,MX,1578449763,53,24.63,-101.42,282.72,3.89
160,salalah,0,OM,1578449696,53,17.01,54.1,297.15,4.6
161,berdigestyakh,100,RU,1578449763,96,62.1,126.7,261.45,1.79
162,surgut,100,RU,1578449763,91,61.25,73.4,255.15,2.0
163,yellowknife,20,CA,1578449705,66,62.45,-114.38,237.59,1.5
164,faanui,4,PF,1578449239,78,-16.48,-151.75,300.8,8.24
165,talcahuano,20,CL,1578449764,82,-36.72,-73.12,289.15,4.1
166,hobyo,100,SO,1578449764,80,5.35,48.53,297.83,5.08
167,mount gambier,100,AU,1578449764,24,-37.83,140.78,301.15,5.1
168,georgetown,40,GY,1578449531,83,6.8,-58.16,300.15,4.1
169,bathsheba,20,BB,1578449209,74,13.22,-59.52,299.15,7.2
170,dubbo,0,AU,1578449669,25,-32.25,148.6,309.15,5.7
171,batangafo,0,CF,1578449765,35,7.3,18.29,294.26,1.33
172,port elizabeth,90,US,1578449224,86,39.31,-74.98,275.37,4.6
173,montrose,40,GB,1578449765,65,56.71,-2.47,281.15,11.3
174,maragogi,0,BR,1578449766,72,-9.01,-35.22,299.87,4.55
175,alofi,11,NU,1578449247,74,-19.06,-169.92,301.14,4.55
176,stephenville,75,CA,1578449766,85,48.55,-58.59,269.82,1.5
177,praia da vitoria,40,PT,1578449196,82,38.73,-27.07,291.15,10.27
178,ponta do sol,100,BR,1578449175,93,-20.63,-46.0,294.29,0.98
179,rovaniemi,90,FI,1578449767,96,66.5,25.72,274.15,7.7
180,nairn,1,US,1578449767,76,29.43,-89.61,288.15,2.1
181,ouro preto do oeste,100,BR,1578449767,96,-10.75,-62.22,297.17,1.4
182,tasiilaq,64,GL,1578449189,46,65.61,-37.64,256.64,8.51
183,beloha,0,MG,1578449767,90,-25.17,45.06,295.17,3.79
184,ankazobe,75,MG,1578449768,93,-18.32,47.12,291.15,1.0
185,grindavik,75,IS,1578449686,79,63.84,-22.43,272.15,21.6
186,portland,1,US,1578449134,68,43.66,-70.25,273.15,2.5
187,haines junction,98,CA,1578449239,99,60.75,-137.51,248.1,2.01
188,jiuquan,9,CN,1578449769,41,39.73,98.49,265.68,1.44
189,high level,90,CA,1578449769,75,58.52,-117.13,248.15,1.0
190,sao filipe,100,CV,1578449231,72,14.9,-24.5,293.18,8.79
191,colesberg,100,ZA,1578449769,79,-30.72,25.1,292.04,3.45
192,wittlich,90,DE,1578449770,100,49.98,6.89,279.26,3.1
193,russell,1,US,1578449184,45,38.9,-98.86,279.15,2.1
194,carnarvon,69,ZA,1578449770,82,-30.97,22.13,291.14,4.11
195,kaeo,70,NZ,1578449183,56,-35.1,173.78,298.15,1.34
196,sernovodsk,98,RU,1578449770,98,53.92,51.26,260.67,0.38
197,yermakovskoye,100,RU,1578449770,95,53.28,92.4,260.27,1.12
198,cherskiy,31,RU,1578449216,72,68.75,161.3,244.54,3.94
199,pasco,1,US,1578449771,57,46.24,-119.1,283.71,2.6
200,havre-saint-pierre,90,CA,1578449771,92,50.23,-63.6,260.15,2.1
201,nome,1,US,1578448895,61,30.04,-94.42,283.15,1.22
202,vaitape,4,PF,1578449771,78,-16.52,-151.75,300.8,8.24
203,saint-pierre,90,FR,1578449772,100,48.95,4.24,282.15,5.7
204,ribeira grande,64,PT,1578449682,92,38.52,-28.7,289.46,7.83
205,belmopan,75,BZ,1578449681,94,17.25,-88.77,295.15,3.1
206,coueron,90,FR,1578449772,100,47.22,-1.72,284.26,4.6
207,torgelow,95,DE,1578449772,86,53.63,14.01,278.15,5.7
208,evensk,100,RU,1578449773,72,61.92,159.24,252.86,2.56
209,comodoro rivadavia,20,AR,1578449208,48,-45.87,-67.48,292.15,9.3
