,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,brae,100,GB,1578449253,70,60.4,-1.35,279.15,15.4
383,zhangye,77,CN,1578449235,47,38.94,100.46,268.88,0.16
384,cayenne,75,GF,1578449054,83,4.94,-52.33,300.15,2.6
385,vestmannaeyjar,100,IS,1578449809,69,63.44,-20.27,272.87,22.75
386,salisbury,100,GB,1578449809,93,51.07,-1.8,285.37,4.6
387,riachao das neves,100,BR,1578449809,91,-11.75,-44.91,294.49,0.43
388,khuzhir,0,RU,1578449809,81,53.19,107.35,263.68,2.89
389,chernyshevskiy,100,RU,1578449809,95,63.01,112.47,259.6,3.21
390,monrovia,20,LR,1578449810,94,6.33,-10.8,296.15,2.99
391,matagami,82,NG,1578449810,31,9.67,8.4,293.71,2.9
392,kamina,100,CD,1578449811,97,-8.74,25.0,291.5,0.95
393,saint-leu,98,RE,1578449811,78,-21.15,55.28,298.15,2.1
394,zalantun,0,CN,1578449811,79,48.0,122.72,260.83,2.92
395,tankhoy,81,RU,1578449812,85,51.55,105.12,263.26,1.19
396,zhangjiakou,1,CN,1578449812,72,40.77,114.88,261.17,2.24
397,yakeshi,100,CN,1578449812,100,49.28,120.73,251.69,1.46
398,koslan,100,RU,1578449814,94,63.46,48.9,263.88,4.0
399,bolshaya sosnova,74,RU,1578449815,98,57.67,54.6,258.88,0.82
400,seydi,100,NE,1578449815,21,13.34,7.75,289.87,4.65
401,khatanga,100,RU,1578449815,95,71.98,102.47,257.79,4.48
402,shirokiy,95,RU,1578449815,96,53.87,39.17,269.65,3.33
403,mar del plata,0,AR,1578449676,35,-46.43,-67.52,287.28,15.64
404,matias barbosa,96,BR,1578449816,94,-21.87,-43.32,294.69,1.12
405,verkhoyansk,23,RU,1578449816,87,67.55,133.39,242.79,0.56
406,nortelandia,100,BR,1578449817,99,-14.45,-56.8,295.41,1.49
407,hargeysa,100,SO,1578449817,93,9.56,44.06,288.68,5.63
408,palmerston,90,AU,1578449817,74,-12.49,130.99,306.48,6.2
409,potsdam,89,DE,1578449672,86,52.4,13.06,278.15,4.1
410,nalgonda,27,IN,1578449817,85,17.05,79.27,295.19,3.03
411,kamenka,0,MD,1578449818,82,48.03,28.7,268.79,1.33
412,setermoen,100,NO,1578449818,64,68.86,18.35,277.15,11.8
413,ponta delgada,20,PT,1578449252,88,37.73,-25.67,291.15,5.1
414,tual,100,ID,1578449818,79,-5.67,132.75,300.87,6.25
415,samagaltay,35,RU,1578449819,86,50.6,95.0,247.66,0.58
416,sokoto,100,NG,1578449819,19,13.06,5.24,292.83,6.7
417,znamenskoye,15,RU,1578449819,97,57.13,73.82,254.38,1.01
418,frohnleiten,27,AT,1578449819,92,47.27,15.33,268.15,1.0
419,am timan,0,TD,1578449819,31,11.04,20.28,293.02,2.22
420,mackenzie,90,CA,1578449609,78,55.34,-123.09,260.15,5.1
421,seoul,90,KR,1578449592,93,37.57,126.98,277.15,1.5
422,micheweni,22,TZ,1578449820,78,-4.97,39.83,301.8,4.22
423,ocos,40,GT,1578449820,94,14.51,-92.19,297.15,1.5
424,posse,91,BR,1578449820,91,-14.08,-46.36,293.26,0.68
425,puga,90,ES,1578449821,87,42.33,-8.01,284.82,2.1
426,kadaya,68,RU,1578449526,96,50.93,119.29,251.32,1.35
427,abha,40,SA,1578449821,87,18.22,42.5,287.15,4.1
428,killarney,21,AU,1578449821,24,-28.34,152.3,307.89,1.63
429,lucapa,100,AO,1578449821,98,-8.42,20.74,291.43,1.18
430,richards bay,100,ZA,1578449704,80,-28.77,32.06,297.81,7.91
431,les cayes,0,HT,1578449822,67,18.19,-73.75,300.11,1.86
432,micomeseng,100,GQ,1578449822,98,2.15,10.62,293.86,0.68
433,kokopo,1,PG,1578449822,70,-4.34,152.27,302.88,3.56
434,urengoy,96,RU,1578449822,96,65.96,78.37,253.98,3.81
435,slubice,75,CZ,1578449823,93,48.73,14.32,275.15,1.5
436,yabrud,40,SY,1578449823,75,33.97,36.66,279.15,5.7
437,lerwick,99,GB,1578449823,75,60.15,-1.15,279.15,19.0
438,tame,0,CO,1578449823,64,6.46,-71.72,297.39,1.99
439,sola,64,TZ,1578449823,86,-3.17,33.8,291.09,1.2
440,cocorit,40,MX,1578449824,59,27.57,-109.96,290.15,1.0
441,sibolga,68,ID,1578449824,60,1.74,98.78,302.18,1.41
442,niquelandia,97,BR,1578449825,96,-14.47,-48.46,293.94,0.29
443,bira,0,RU,1578449825,80,49.0,132.47,266.32,1.88
444,sitka,0,US,1578449825,46,37.17,-99.65,276.48,1.34
445,nampa,1,US,1578449825,70,43.57,-116.56,280.15,2.6
446,fort wellington,9,GY,1578449825,80,6.4,-57.6,299.69,8.26
447,qandala,100,SO,1578449825,74,11.47,49.87,296.6,2.23
448,poum,0,MK,1578449826,35,41.28,20.71,269.69,2.03
449,caravelas,59,BR,1578449826,94,-17.73,-39.27,296.15,3.49
450,yarmouth,90,CA,1578449598,63,43.84,-66.12,272.15,1.0
451,sindou,0,BF,1578449826,25,10.66,-5.16,293.9,1.54
452,henties bay,0,NA,1578449826,91,-22.12,14.28,290.93,0.89
453,alihe,0,CN,1578449679,78,50.57,123.73,260.1,1.55
454,tautira,75,PF,1578449253,70,-17.73,-149.15,303.15,4.1
455,neuquen,0,AR,1578449706,35,-38.95,-68.06,296.15,4.6
456,parrsboro,90,CA,1578449827,86,45.41,-64.33,272.15,2.1
457,karratha,100,AU,1578449828,68,-20.74,116.85,304.17,4.38
458,yershichi,100,RU,1578449828,93,53.67,32.75,272.13,2.53
459,bonavista,97,CA,1578449828,83,48.65,-53.11,267.73,5.29
460,zlotow,90,PL,1578449829,93,53.36,17.04,276.15,4.1
461,mutoko,76,ZW,1578449829,92,-17.4,32.23,291.27,0.55
462,zheshart,100,RU,1578449829,92,62.09,49.59,264.75,3.84
463,reconquista,0,AR,1578449829,32,-29.14,-59.64,293.87,3.55
464,ridgecrest,75,US,1578449554,52,35.62,-117.67,282.59,2.1
465,atar,2,MR,1578449254,16,20.52,-13.05,281.74,4.0
466,ha giang,97,VN,1578449830,94,22.83,104.99,290.47,2.71
467,srandakan,7,ID,1578449830,70,-7.94,110.25,301.74,4.01
468,calabozo,0,VE,1578449830,64,8.92,-67.43,299.53,2.81
469,susanville,1,US,1578449830,35,40.42,-120.65,279.15,2.1
470,san rafael,0,AR,1578449831,32,-34.61,-68.33,297.57,4.06
471,castro-urdiales,100,ES,1578449831,100,43.38,-3.22,281.48,1.5
472,sorland,100,NO,1578449831,89,67.67,12.69,279.53,18.85
473,walvis bay,0,NA,1578449246,88,-22.95,14.51,290.93,1.0
474,nur,0,PL,1578449831,91,52.67,22.32,270.84,2.95
475,san diego de la union,64,MX,1578449832,53,21.47,-100.87,283.71,0.89
476,queanbeyan,40,AU,1578449832,39,-35.35,149.23,305.93,7.7
477,norilsk,75,RU,1578449832,84,69.35,88.2,257.15,9.0
478,peterhead,0,AU,1578449832,30,-34.83,138.5,308.71,2.68
479,virginia beach,40,US,1578449668,66,36.85,-75.98,278.15,6.2
480,newport,90,GB,1578449832,100,51.59,-3.0,285.37,7.7
481,scarborough,37,GB,1578449833,81,54.28,-0.41,285.15,5.1
482,payo,81,ID,1578449833,75,-3.75,103.64,297.96,1.74
483,homer,1,US,1578449833,65,59.64,-151.54,262.15,2.6
484,makat,100,KZ,1578449833,75,47.65,53.35,268.97,4.33
485,tecoanapa,20,MX,1578449834,83,16.99,-99.26,299.15,1.5
486,port-cartier,20,CA,1578449251,77,50.03,-66.88,257.59,2.6
487,coroneo,75,MX,1578449834,50,20.2,-100.37,284.15,6.2
488,nuuk,75,GL,1578449711,71,64.17,-51.74,257.15,8.2
489,kavaratti,1,IN,1578449834,72,10.57,72.64,300.8,5.16
490,coquimbo,0,CL,1578449817,82,-29.95,-71.34,290.15,2.6
491,brainerd,40,US,1578449835,65,46.36,-94.2,258.15,6.7
492,sergeyevka,100,KZ,1578449835,96,53.88,67.42,262.97,0.69
493,sao joao da barra,40,BR,1578449835,91,-21.64,-41.05,298.41,5.75
494,busko-zdroj,100,PL,1578449835,80,50.47,20.72,274.82,1.79
495,vysokogornyy,0,RU,1578449835,88,50.1,139.13,261.12,1.48
496,colwyn bay,33,GB,1578449836,81,53.29,-3.71,285.37,7.7
497,suihua,84,CN,1578449836,83,46.64,126.99,261.85,1.73
498,catuday,0,PH,1578449836,74,16.29,119.81,299.07,4.18
499,dolores,0,UY,1578449836,58,-33.53,-58.22,294.26,0.89
500,avera,1,US,1578449836,34,33.19,-82.53,284.15,3.6
501,naze,100,NG,1578449837,78,5.43,7.07,297.15,0.82
502,shache,99,CN,1578449837,95,38.42,77.24,272.59,0.3
503,vao,100,EE,1578449837,84,59.1,26.19,276.25,6.48
504,baciu,0,RO,1578449837,84,46.79,23.53,260.93,1.0
505,boisoara,0,RO,1578449837,92,45.43,24.38,260.93,1.0
506,derzhavinsk,97,KZ,1578449838,96,51.1,66.31,256.75,2.69
507,yibin,100,CN,1578449838,64,28.77,104.64,284.04,0.7
508,vestmanna,100,FO,1578449838,80,62.16,-7.17,275.15,11.3
509,berlevag,33,NO,1578449689,75,70.86,29.09,277.05,8.61
510,cabedelo,40,BR,1578449838,85,-6.97,-34.84,299.15,2.1
511,huty,0,UA,1578449839,78,50.13,35.35,266.73,2.54
512,copiapo,0,CL,1578449839,77,-27.37,-70.33,291.15,2.1
513,tevaitoa,16,PF,1578449839,78,-16.78,-151.5,301.08,8.24
514,kungurtug,0,RU,1578449839,76,50.6,97.53,252.66,0.11
515,tongren,100,CN,1578449840,93,27.72,109.18,278.29,2.65
516,kupang,90,ID,1578449840,88,-10.16,123.6,300.15,3.1
517,husavik,24,CA,1578449840,81,50.56,-96.99,252.59,1.34
518,vallenar,0,CL,1578449840,89,-28.58,-70.76,286.8,1.13
519,kangly,90,RU,1578449841,100,44.25,43.03,271.15,2.0
520,vila velha,75,BR,1578449677,78,-3.71,-38.6,303.15,2.1
521,sioux falls,1,US,1578449841,61,43.55,-96.7,268.71,4.6
522,balikpapan,20,ID,1578449841,62,-1.24,116.86,303.15,4.6
523,biloela,76,AU,1578449841,21,-24.4,150.51,307.02,0.37
524,san policarpo,100,PH,1578449842,73,12.18,125.51,301.0,5.55
525,sydney,13,AU,1578449772,83,-33.85,151.22,300.93,10.3
526,tommot,100,RU,1578449842,93,58.97,126.27,265.14,4.73
527,roblin,0,CA,1578449842,96,51.23,-101.35,243.11,0.9
528,visby,100,SE,1578449842,79,57.64,18.3,279.26,12.9
529,nemuro,75,JP,1578449646,79,43.32,145.57,270.15,1.5
530,jasper,1,US,1578449843,76,33.83,-87.28,282.15,1.67
531,baoma,100,CN,1578449843,75,31.49,106.11,281.68,2.5
532,tigil,100,RU,1578449843,78,57.8,158.67,261.54,2.42
533,mizan teferi,100,ET,1578449843,85,6.99,35.58,291.14,1.49
534,nizhniy tsasuchey,18,RU,1578449843,78,50.52,115.13,259.21,1.75
535,dukat,0,AL,1578449844,39,40.25,19.57,278.71,0.89
536,tessalit,3,ML,1578449844,16,20.2,1.01,287.62,7.43
537,corinth,20,GR,1578449844,56,37.94,22.93,279.82,2.6
538,monte carmelo,100,BR,1578449844,95,-18.73,-47.5,294.83,0.49
539,kalmunai,100,LK,1578449844,75,7.42,81.82,300.58,7.88
540,miramar,0,CR,1578449845,53,10.09,-84.73,295.37,7.7
541,mato verde,39,BR,1578449845,94,-15.4,-42.86,294.8,0.41
542,morehead,20,US,1578449833,48,38.18,-83.43,278.15,3.1
543,sept-iles,20,CA,1578449640,77,50.2,-66.38,257.59,2.6
544,machico,75,PT,1578449845,63,32.7,-16.77,289.15,6.2
545,borovoy,99,RU,1578449845,93,63.23,52.89,263.4,4.13
546,cabiraoan,37,PH,1578449846,72,18.32,122.09,299.54,6.92
547,morant bay,20,JM,1578449846,78,17.88,-76.41,299.15,3.6
548,pangnirtung,10,CA,1578449846,73,66.15,-65.72,231.44,0.63
549,aloleng,0,PH,1578449846,53,16.13,119.78,303.42,5.14
550,bilibino,0,RU,1578449847,93,68.06,166.44,239.57,1.31
551,limoges,90,FR,1578449847,100,45.84,1.26,282.04,1.0
552,suntar,100,RU,1578449847,93,62.16,117.65,264.0,3.44
553,deming,1,US,1578449847,27,32.27,-107.76,277.15,3.6
554,bonthe,0,SL,1578449847,79,7.53,-12.5,297.94,2.83
555,deputatskiy,97,RU,1578449719,94,69.3,139.9,250.18,1.68
556,quelimane,100,MZ,1578449848,86,-17.88,36.89,299.33,1.77
557,mechetinskaya,100,RU,1578449848,95,46.77,40.45,272.58,4.86
558,emilio carranza,26,MX,1578449848,83,19.97,-96.61,293.75,6.74
559,ust-nera,100,RU,1578449849,100,64.57,143.24,239.91,0.55
560,diapaga,63,BF,1578449849,21,12.07,1.79,294.54,3.53
